Potential (V),Current (A)
0.40213,0.0000014224
0.40585,0.0000014072
0.41102,0.0000013961
0.41619,0.0000013927
0.42124,0.0000013809
0.42638,0.0000013799
0.43172,0.000001374
0.43682,0.0000013679
0.44194,0.0000013631
0.4472,0.0000013598
0.45229,0.000001361
0.45738,0.0000013585
0.46264,0.0000013588
0.46774,0.0000013528
0.47289,0.0000013514
0.47812,0.0000013509
0.48324,0.0000013492
0.4884,0.0000013422
0.49363,0.0000013424
0.49874,0.0000013449
0.50055,0.0000013417
0.49876,0.0000013363
0.49367,0.0000013407
0.48841,0.000001341
0.48326,0.0000013403
0.47814,0.0000013394
0.47292,0.0000013352
0.46778,0.000001337
0.4627,0.000001334
0.45742,0.0000013345
0.45232,0.0000013368
0.44725,0.0000013341
0.44203,0.0000013347
0.43688,0.0000013335
0.43178,0.0000013319
0.42646,0.000001334
0.4213,0.0000013308
0.41626,0.0000013301
0.41109,0.0000013338
0.40589,0.000001331
0.40078,0.0000013302
0.39565,0.0000013286
0.39049,0.0000013318
0.38535,0.0000013292
0.38021,0.0000013297
0.37505,0.000001323
0.36988,0.0000013293
0.36461,0.0000013259
0.35949,0.0000013229
0.35439,0.0000013225
0.34921,0.0000013239
0.34408,0.000001323
0.33888,0.0000013207
0.33377,0.0000013196
0.3287,0.000001318
0.32345,0.0000013194
0.31835,0.0000013158
0.31325,0.0000013189
0.30794,0.000001315
0.3028,0.0000013108
0.29776,0.0000013095
0.29256,0.0000013137
0.28741,0.0000013168
0.28228,0.0000013156
0.27703,0.0000013127
0.27194,0.000001314
0.26686,0.0000013123
0.26158,0.0000013076
0.25646,0.0000013119
0.25134,0.000001304
0.24612,0.0000013088
0.24092,0.0000013083
0.23579,0.0000013013
0.23058,0.0000013039
0.2254,0.0000013051
0.22032,0.0000012976
0.21512,0.0000012982
0.21,0.000001301
0.20484,0.0000013012
0.19972,0.0000013031
0.19457,0.0000012991
0.18938,0.0000013046
0.18419,0.0000013042
0.17909,0.0000013005
0.17394,0.0000013057
0.16877,0.0000013031
0.16368,0.000001298
0.15844,0.0000013062
0.15326,0.000001307
0.14825,0.000001301
0.14299,0.0000012989
0.13782,0.0000013014
0.13271,0.0000013017
0.1275,0.0000013017
0.12233,0.0000012964
0.11721,0.0000012998
0.112,0.0000013036
0.10686,0.0000012954
0.10175,0.0000013024
0.096522,0.0000013006
0.091377,0.0000013023
0.086294,0.0000013055
0.081115,0.0000013047
0.075925,0.0000013013
0.070765,0.0000013018
0.065531,0.0000013044
0.060344,0.0000012952
0.055267,0.0000013044
0.050133,0.0000013015
0.044983,0.0000013012
0.039805,0.0000012995
0.034658,0.0000013
0.029535,0.000001299
0.024324,0.0000012919
0.019195,0.0000013018
0.014096,0.0000012978
0.0088239,0.0000012952
0.0035663,0.0000012929
-0.0015019,0.0000012987
-0.0066962,0.000001292
-0.011859,0.0000012951
-0.016904,0.0000012906
-0.022205,0.0000012881
-0.027371,0.0000012911
-0.032362,0.0000012838
-0.037624,0.0000012858
-0.042765,0.0000012861
-0.047857,0.0000012851
-0.053216,0.0000012898
-0.058332,0.0000012882
-0.063341,0.0000012869
-0.068562,0.0000012915
-0.07373,0.0000012904
-0.07888,0.0000012893
-0.084022,0.0000012888
-0.089145,0.0000012926
-0.094325,0.0000012906
-0.099439,0.0000012892
-0.10457,0.000001293
-0.10989,0.0000012927
-0.11505,0.0000012872
-0.12017,0.0000012912
-0.12523,0.0000012982
-0.1304,0.0000013021
