Potential (V),Current (A)
0.4023,0.0000072915
0.40602,0.0000067866
0.41117,0.0000063285
0.41635,0.0000059544
0.4214,0.000005637
0.42655,0.0000053889
0.43187,0.0000051932
0.43693,0.0000050205
0.44211,0.0000048881
0.44736,0.0000047888
0.4524,0.0000046962
0.45752,0.0000046346
0.46277,0.000004591
0.46788,0.0000045567
0.47301,0.0000045409
0.47825,0.0000045305
0.48337,0.0000045376
0.48855,0.0000045521
0.49375,0.0000045798
0.49886,0.0000046144
0.50067,0.0000046402
0.49887,0.0000041102
0.49377,0.0000037918
0.48855,0.0000035198
0.48338,0.000003298
0.47823,0.0000031136
0.473,0.0000029365
0.46788,0.0000027857
0.46278,0.000002646
0.45751,0.0000025163
0.45243,0.000002403
0.44733,0.0000022897
0.44208,0.000002188
0.43697,0.0000020937
0.43184,0.0000019994
0.42654,0.0000019179
0.42139,0.0000018345
0.41634,0.0000017578
0.41118,0.0000016877
0.406,0.0000016149
0.40085,0.0000015438
0.39569,0.0000014816
0.39051,0.0000014204
0.38539,0.0000013595
0.38027,0.0000013012
0.37512,0.0000012512
0.36992,0.0000011938
0.36471,0.0000011433
0.35951,0.000001098
0.35444,0.0000010471
0.34929,0.0000009997
0.34414,0.00000095808
0.33894,0.00000090873
0.33379,0.00000086465
0.32873,0.00000082916
0.32351,0.00000078187
0.31838,0.00000074332
0.31332,0.00000070637
0.30797,0.00000066775
0.30285,0.00000063051
0.29779,0.00000059965
0.2926,0.0000005647
0.28745,0.00000053094
0.28231,0.00000049597
0.27706,0.00000046716
0.27194,0.00000043945
0.26687,0.00000040534
0.26161,0.00000037942
0.25648,0.0000003474
0.25138,0.00000031746
0.24613,0.00000029536
0.24096,0.00000026315
0.23579,0.00000023575
0.23063,0.00000021228
0.22546,0.00000018719
0.22033,0.00000016095
0.21514,0.00000013342
0.21,0.00000010952
0.20488,0.000000084442
0.19972,0.000000060627
0.1946,0.000000037262
0.18939,0.000000010367
0.18418,-0.000000014439
0.17906,-0.000000030405
0.17391,-0.000000059103
0.1688,-0.000000084446
0.16371,-0.000000099589
0.15843,-0.00000012701
0.1533,-0.00000014604
0.14824,-0.00000016705
0.143,-0.00000018976
0.13786,-0.00000020753
0.13275,-0.00000023354
0.12749,-0.00000025279
0.12236,-0.00000027159
0.11725,-0.00000029321
0.11205,-0.00000031103
0.10693,-0.00000033005
0.10181,-0.00000035173
0.096595,-0.00000036592
0.091442,-0.00000038924
0.086384,-0.00000040896
0.081196,-0.00000042044
0.075998,-0.00000044284
0.070832,-0.00000046619
0.065625,-0.00000048254
0.060452,-0.00000049876
0.055361,-0.00000051913
0.050236,-0.00000053912
0.045063,-0.00000055435
0.039888,-0.00000057549
0.03476,-0.00000059343
0.029608,-0.00000060599
0.024423,-0.00000062731
0.019267,-0.00000064486
0.014177,-0.00000065785
0.0089347,-0.00000068258
0.0036846,-0.00000069863
-0.0013834,-0.00000070674
-0.0065853,-0.00000073596
-0.011739,-0.00000075251
-0.016803,-0.00000076793
-0.022116,-0.00000078923
-0.027259,-0.00000080478
-0.032277,-0.00000082183
-0.037538,-0.00000084137
-0.042696,-0.00000085524
-0.047785,-0.00000087954
